CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
8BIT,Scrypt,PoW/PoS,1467841.0,0,-0.33686523720824274,1.0301323788110146,-0.5634139768003096,8BIT Coin,0
STV,X13,PoW/PoS,7096834.0,10000000,-0.27902489387751983,1.8098710357757293,-0.6168266376676264,Sativa Coin,0
ABY,Scrypt,PoW,792537250.0,1000000000,-0.15138563498089788,-1.133214589844841,0.0035567403633860965,ArtByte,1
FLDC,Stanford Folding,PoW,719416990.0,1000000000,-0.12896240426976732,-2.184612436209956,0.38398409662088345,Folding Coin,1
U,X11,PoS,2689812.0,20000000,-0.34980686312775566,0.9947086827776335,-0.16620904315801358,Ucoin,0
UIS,Multiple,PoW,65113302.0,0,-0.12635933499143834,-1.7988396465309606,0.3625261101826831,Unitus,1
CYP,QuBit,PoW,6365285.0,0,-0.17429657632233095,-1.5639008082871273,0.1779192430686442,CypherPunkCoin,1
OMC,Scrypt,PoW,10140044.4430293,3371337,-0.16801195121019782,-1.1329101382396989,0.0037438064990519587,OmniCron,1
VTR,Scrypt,PoW/PoS,11604722.0,20000000,-0.3365995670473096,1.0301244046471894,-0.5634164964091275,Vtorrent,0
GRE,Scrypt,PoW,4610340640.89,10000000000,-0.04092174090963383,-1.1370522138367747,0.0025879265240821296,GreenCoin,1
XCN,M7 POW,PoW,708506520.0,1840000000,-0.09349286737041528,-2.2521635459303275,0.42036143553597577,Cryptonite,1
MSC,Scrypt,PoW,619478.0,619478,-0.16814778677459716,-1.1329117640645767,0.0037459558849280835,MasterCoin,1
SOON,SHA-256,PoW,12462620.0,21000000,-0.14392479619629012,-1.275506632942259,0.16085246393252517,SoonCoin,1
1CR,Scrypt,PoW,88213.0,92000000000,0.48420204954444157,-1.185218667100318,0.0025006473435338454,1Credit,1
ISL,X11,PoW/PoS,1513704.0,0,-0.39733404626486085,1.2465478323194656,-0.5185940672373964,IslaCoin,0
NXS,SHA3,PoW/nPoS,63657220.0,78000000,-0.4000876487590174,2.0166340829585265,-0.20562906891737975,Nexus,0
MARS,X11,PoW,32221574.820996,33000000,-0.228001434829143,-0.9165041459546011,0.04855842636673709,MarsCoin ,1
CTO,Lyra2RE,PoW,13742738.0,65789100,-0.1299416856246259,-2.286465591022242,0.42142052874946556,Crypto,1
ACP,SHA-256,PoW,14747200.0002,53760000,-0.14366458600920728,-1.2755244932314078,0.16085151361647876,Anarchists Prime,1
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000,-0.4099120968135293,1.9520480237558995,-0.6347346928573363,Droidz,0
BSC,X11,PoW,15863837.5,21000000,-0.22828638451686373,-0.9165028048848549,0.0485622177708303,BowsCoin,1
SQL,X11,PoS/PoW,329200.01639,0,-0.3565059976786305,0.7414468616962002,-0.09435388650598513,Squall Coin,0
SONG,Scrypt,PoW,32565300.0,210240000,-0.16627107866765384,-1.1330202396306812,0.0037360310166811217,Song Coin,1
ZNY,Scrypt,PoW,75614500.0,250000000,-0.1654631694031464,-1.1330284192960811,0.003725942328150561,BitZeny,1
DIGS,Scrypt,PoS,100000000.0,100000000,-0.2875812857177716,0.778280369549698,-0.2110516341003139,Diggits,0
EXP,Ethash,PoW,10495278.0,16906397,-0.15753060714985842,-2.0840164531648613,0.3995178795577913,Expanse,1
CON,X13,PoW/PoS,23042604.0,50000000,-0.2785464330477513,1.809853637107606,-0.6168307167223402,Paycon,0
SC,Blake2b,PoW,33098296530.0,0,0.39439652868023306,-2.298226244712073,0.4261696607288934,Siacoin,1
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000,-0.30533241344897366,0.8869905112332124,-0.40632732994886733,Emercoin,0
EGC,X15,PoW/PoS,13530556.4180753,26298000,-0.24721672580240353,1.8253542582231188,-0.6639074115291405,EverGreenCoin,0
MND,X11,PoW,15867695.0,16000000,-0.228321791772807,-0.9164999608162441,0.048562284601719324,MindCoin,1
I0C,SHA-256,PoW,20997476.8650231,21000000,-0.14382051714583183,-1.2755037728518661,0.16085057047867637,I0coin,1
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000,-0.0730379174107928,1.014102432882525,-0.5019456534664892,Decred,0
RVR,Scrypt,PoW,210000000.0,210000000,-0.16410487979436647,-1.1329606435650537,0.0036966704636526224,Revolution VR,1
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100,-0.1539565727820566,-2.051173664928464,0.41381751593074234,HOdlcoin,1
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000,-0.31274856059655926,0.8875333583064307,-0.4063053517603695,EDRCoin,0
HTC,X11,PoW/PoS,10996318099.0,26550000000,-0.07473651336461261,1.2351371281653938,-0.5213926754857486,Hitcoin,0
GAME,Scrypt,PoW,69836100.0,84000000,-0.1667108556558545,-1.1329359755173896,0.0037294714609360977,Gamecredits,1
DBIC,SHA-256,PoW/PoS,5129014.0,10500000,-0.3128122756595204,0.887540385720171,-0.4063055198309323,DubaiCoin,0
DIEM,SHA-256,PoW,21739971929.0,21626280000 ,0.27474273496436713,-1.280509386202647,0.15573974864287846,CarpeDiemCoin,1
PWR,NIST5,PoW/PoS,10069449031.9252,0,-0.21987991297554374,1.5273939536663173,-0.5960833955686496,PWR Coin,0
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000,-0.33647540764487105,1.0301110231513146,-0.5634162160953681,BillaryCoin,0
GPU,Scrypt,PoS,40477042.0,221052632,-0.2874501690278367,0.7781915978871812,-0.21104006769099073,GPU Coin,0
ADZ,X11,PoW,45110324.0,84000000,-0.22748232508909821,-0.9165288231588996,0.04855487659992633,Adzcoin,1
SOIL,Dagger,PoW,5702048.0,30000000,-0.13286231403102183,-2.276724892999458,0.3685309024590159,SoilCoin,1
YOC,Scrypt,PoW,636462.55983338,168351300,-0.16695821347254466,-1.1330071231703709,0.0037436814751049844,YoCoin,1
SIB,X11GOST,PoW,17263355.0,24000000,-0.16602180156036858,-2.1221499621763,0.3781991198508478,SibCoin,1
ERC,X11,PoW/PoS,10407269.7881868,384000000,-0.39450248758353784,1.2463324874238915,-0.5186012386071533,EuropeCoin,0
ZEIT,Scrypt,PoS,36971236046.8073, 99000000000,0.8641999815761371,0.7344060713366071,-0.22057034230098976,ZeitCoin,0
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000,-0.3126122819013477,0.8875233613643342,-0.4063057523664689,SwingCoin,0
SAFEX,Scrypt,PoC,2147483647.0,2147483647,-0.07298873593207675,0.5918369286851087,-0.5131624923675037,SafeExchangeCoin,0
NEBU,PoS,PoS,20000000.0,20000000,-0.3420689813241552,1.4792272553344474,-0.02451521152813308,Nebuchadnezzar,0
FRN,Scrypt,PoW,6570807.65677618,20000000,-0.16793764840553657,-1.132920788628582,0.003744373224723111,Francs,1
